risk_id,quality_attribute,description,cause,impact_1_5,probability_1_5,score,why_this_score,scenario_ref,evidence_ref,status
R1,Security,Acceso no autorizado a endpoints protegidos,Falla en validación de JWT o roles en middleware,5,4,20,Compromete datos y operaciones críticas y es probable por configuración incorrecta o bypass de auth,quality/scenarios.md#Escenario-Q2,evidence/week3/security_results.csv;evidence/week3/security_summary.txt,TOP3

R2,Robustness,"Error interno 500 ante inputs válidos (ej. registro de usuario)",Validación insuficiente y manejo incorrecto de null/undefined en lógica de negocio,4,4,16,Impacta funcionalidad básica y ya se observó empíricamente en pruebas iniciales,quality/scenarios.md#Escenario-Q4,evidence/week3/robustness_results.csv;evidence/week3/robustness_summary.txt,TOP3

R3,Availability,Endpoint principal no responde (servicio caído),"Problemas de arranque, puertos o dependencias en Docker",4,3,12,Impide cualquier uso del sistema y es plausible en entornos locales mal configurados,availability_results.csv; availability_summary.txt,TOP3

R4,Performance,Latencia elevada o muy variable en endpoints principales,Falta de baseline y posibles cuellos de botella locales,3,4,12,Afecta experiencia de usuario y es probable sin control de rendimiento inicial,quality/scenarios.md#Escenario-Q1,evidence/week2/performance_results.csv;evidence/week2/performance_summary.txt,NORMAL

R5,Consistency,Respuestas inconsistentes para el mismo endpoint,Implementaciones no uniformes en controladores y manejo de errores,3,3,9,Dificulta integración de clientes aunque el impacto es moderado,quality/scenarios.md#Escenario-Q4,evidence/week2/robustness_results.csv;evidence/week2/robustness_summary.txt,NORMAL

R6,ErrorHandling,"Códigos HTTP incorrectos (4xx vs 5xx)",Falta de política global de manejo de errores,3,3,9,Genera confusión a clientes y oculta errores reales pero no bloquea el sistema,quality/scenarios.md#Escenario-Q4,evidence/week2/robustness_results.csv;evidence/week2/robustness_summary.txt,NORMAL

R7,Stability,"Resultados no reproducibles entre ejecuciones (flakiness)","Estado compartido, dependencias externas o datos no deterministas",3,3,9,Afecta confiabilidad de pruebas y diagnósticos pero no al usuario final directo,quality/scenarios.md#Escenario-Q4,evidence/week2/robustness_results.csv;evidence/week2/robustness_summary.txt,NORMAL

R8,DataIntegrity,Pérdida o inconsistencia de datos en modo memoria,Datos volátiles y reinicios del contenedor,4,2,8,Impacto alto pero limitado a ciertos modos de ejecución,quality/scenarios.md#Escenario-Q3,evidence/week2/persistence_results.json;evidence/week2/persistence_summary.txt,NORMAL
